Project,Client,Title,Duration
captionslearn,,landing page,65:16:28
captionslearn,,search,54:16:33
captionslearn,,React,18:05:42
captionslearn,,Google analytics,15:24:05
captionslearn,,blog research,03:48:05
captionslearn,,,48:00:04
consulting,,frontend Cisco,31:04:45
consulting,,Cisco,21:55:14
consulting,,wireframes Cisco,21:09:31
consulting,,riff,17:16:19
consulting,,riff: rewrite,05:26:21
consulting,,barcycle,04:00:17
consulting,,Cisco proposals,03:43:02
consulting,,riff refactor,02:06:29
consulting,,riff tidying,01:56:19
Algorithms I,,coursera,72:07:24
Algorithms I,,java intro,07:21:24
Algorithms I,,codewars,03:45:23
Algorithms I,,Union find,00:23:52
Projects,,flashcards,50:35:54
Projects,,Glassdoor Scraper,14:18:59
Projects,,databases learning,09:43:32
Projects,,learn JavaScript,08:09:52
Interview Prep,,react.js,19:02:04
Interview Prep,,comma.ai coding challenge,17:00:34
Interview Prep,,#data engineer interview,06:52:42
Interview Prep,,flashcards,06:21:40
Interview Prep,,take home test,03:31:13
Interview Prep,,resume review,03:04:50
Interview Prep,,interview secrets book,02:39:10
Interview Prep,,HTML/CSS,02:33:21
Interview Prep,,door dash,02:04:07
Interview Prep,,bloomerang,01:25:23
Interview Prep,,code assessment,01:24:19
Interview Prep,,ds job descriptions,01:22:32
UpWork,,Assignment 7,23:11:34
UpWork,,TA,07:55:23
UpWork,,assignment rewrite,06:48:57
UpWork,,Assignment 6,06:43:57
UpWork,,Excel plugin,01:51:57
UpWork,,new work,01:49:07
UpWork,,skill test,00:42:56
javascript practice,,eloquent javascript,06:25:42
javascript practice,,ch 6 eloquent javascript,03:58:21
javascript practice,,ch 7 eloquent javascript,02:18:36
Poker,,appNLH,01:39:29
CodeWars,,coursera,01:32:54
taxes,,,01:28:36
,,kin hackathon,15:47:31
,,Kotlin,14:45:04
,,leetcode,11:09:00
,,caplearn,09:12:45
,,react,08:38:38
,,codewars,04:57:09
,,ydkjs,03:37:03
,,React context api,03:00:26
,,eloquent javascript,00:57:41
